name,state,office,party,incumbent,campaign_website,profile_url
Jerry Carl,Alabama,U.S. House Alabama District 1,Republican,True,https://www.facebook.com/JerryCarlForCongress,https://ballotpedia.org/Jerry_Carl
Shane Weaver,Alabama,U.S. House Alabama District 4,Democratic,True,https://www.facebook.com/weaverforuscongress,https://ballotpedia.org/Shane_Weaver
Dale Strong,Alabama,U.S. House Alabama District 5,Republican,True,https://www.facebook.com/strongforalabama/,https://ballotpedia.org/Dale_Strong
Joseph Terry,Alabama,U.S. House Alabama District 5,Republican,True,,https://ballotpedia.org/Joseph_Terry
Jeremy Devito,Alabama,U.S. House Alabama District 5,Democratic,True,https://www.facebook.com/profile.php?id=61574570588408,https://ballotpedia.org/Jeremy_Devito
Candice Duvieilh,Alabama,U.S. House Alabama District 5,Democratic,True,https://www.facebook.com/CandiceDuvieilhforCongress,https://ballotpedia.org/Candice_Duvieilh
Greg Howard,Alabama,U.S. House Alabama District 5,Democratic,True,https://www.facebook.com/greghowardjr1,https://ballotpedia.org/Greg_Howard_(Alabama)
Andrew Sneed,Alabama,U.S. House Alabama District 5,Democratic,True,https://www.facebook.com/andrewsneedforcongress,https://ballotpedia.org/Andrew_Sneed
John Mills,Alabama,U.S. House Alabama District 1,Republican,True,#cite_note-3,https://ballotpedia.org/John_Mills_(Alabama)
Terri LaPoint,Alabama,U.S. House Alabama District 3,Republican,True,https://www.facebook.com/profile.php?id=61575008954961,https://ballotpedia.org/Terri_LaPoint
James Richardson,Alabama,U.S. House Alabama District 1,Republican,True,#cite_note-3,https://ballotpedia.org/James_Richardson_(Alabama)
Clyde Jones,Alabama,U.S. House Alabama District 1,Democratic,True,https://www.facebook.com/ClydeJonesForCongress/,https://ballotpedia.org/Clyde_W._Jones_Jr._(Alabama_congressional_candidate)
Austin Sidwell,Alabama,U.S. House Alabama District 1,Republican,True,https://www.facebook.com/sidwellforcongress,https://ballotpedia.org/Austin_Sidwell
