candidate_id,candidate_name,committee_id,total_individual_contributions,total_pac_contributions,total_contributions,processed_at,office,state,district,party_full
H6MI04188,"AARON, RICHARD",C00898031,0,0,0,2026-02-18T14:06:44.808076,H,MI,4.0,DEMOCRATIC PARTY
H4OR05312,"AASEN, ANDREW J",C00846311,0,0,0,2026-02-18T14:06:44.808825,H,OR,5.0,NON-PARTY
H4CA32152,"ABBITT, DAVE",C00859025,0,0,0,2026-02-18T14:06:44.809245,H,CA,32.0,DEMOCRATIC PARTY
H2NY12197,"ABDELHAMID, RANA",C00776658,0,2,2,2026-02-18T14:06:44.810167,H,NY,12.0,DEMOCRATIC PARTY
H6TX31136,"ABEL, WILLIAM P",C00919480,0,8,8,2026-02-18T14:06:44.810935,H,TX,31.0,REPUBLICAN PARTY
H4RI01281,"ABNEY, MARVIN L.",C00839126,14,0,14,2026-02-18T14:06:44.811814,H,RI,1.0,DEMOCRATIC PARTY
H4TN05145,"ABOLFAZLI, MARYAM.",C00874602,0,0,0,2026-02-18T14:06:44.812563,H,TN,5.0,DEMOCRATIC PARTY
H4FL02112,"ABOUJAOUDE, ROCK ADEL MR. JR",C00876888,0,0,0,2026-02-18T14:06:44.813269,H,FL,12.0,DEMOCRATIC PARTY
H6FL03123,"ABOUJAOUDE, ROCK ADEL MR. JR.",C00923086,0,0,0,2026-02-18T14:06:44.814395,H,FL,3.0,DEMOCRATIC PARTY
H4GA06137,"ABRAHAM, SHELLY JOHN",C00844803,0,0,0,2026-02-18T14:06:44.815149,H,GA,7.0,DEMOCRATIC PARTY
H4NH00013,"ABRAMSON, MAX",C00865543,0,0,0,2026-02-18T14:06:44.815950,H,NH,0.0,REPUBLICAN PARTY
H6CO08039,"ABRATE, DENIS CHARLES MR.",C00903161,0,0,0,2026-02-18T14:06:44.816432,H,CO,8.0,DEMOCRATIC PARTY
H6IL09186,"ABREVAYA, DAVID",C00902346,0,0,0,2026-02-18T14:06:44.817208,H,IL,9.0,DEMOCRATIC PARTY
H4DC01033,"A BROWN, MICHAEL",C00866632,0,0,0,2026-02-18T14:06:44.817881,H,DC,0.0,INDEPENDENT
H6NC07204,"ABU-GHAZALAH, MAAD",C00922310,2,4,6,2026-02-18T14:06:44.819678,H,NC,7.0,LIBERTARIAN PARTY
H6IL09178,"ABUGHAZALEH, KATHERINE M.",C00900449,1911,1989,3900,2026-02-18T14:06:44.844875,H,IL,9.0,DEMOCRATIC PARTY
H2CA18171,"ACEVEDO-ARREGUIN, LUIS",C00805770,0,0,0,2026-02-18T14:06:44.845368,H,CA,18.0,DEMOCRATIC PARTY
H6FL08262,"ACEVEDO-CALVERT, DAPHNEY ROSARIO MRS.",C00905570,0,0,0,2026-02-18T14:06:44.845743,H,FL,8.0,REPUBLICAN PARTY
H6OR05242,"ADAIR, PATTI",C00927228,0,0,0,2026-02-18T14:06:44.846219,H,OR,5.0,REPUBLICAN PARTY
H4NC12100,"ADAMS, ALMA SHEALEY",C00546358,123,177,300,2026-02-18T14:06:44.849397,H,NC,12.0,DEMOCRATIC PARTY
H6CA38121,"ADAMS-FALCONER, THOMAS MICHAEL JR.",C00905786,37,1,38,2026-02-18T14:06:44.851477,H,CA,38.0,DEMOCRATIC PARTY
H6MI10300,"ADAMS, GEORGE",C00908293,128,272,400,2026-02-18T14:06:44.854720,H,MI,10.0,DEMOCRATIC PARTY
H6OH01195,"ADAMS, HOLLY",C00937664,0,0,0,2026-02-18T14:06:44.855299,H,OH,1.0,REPUBLICAN PARTY
H6TN06254,"ADAMS, JACOB ALAN",C00922641,0,0,0,2026-02-18T14:06:44.856253,H,TN,6.0,REPUBLICAN PARTY
H6MN07320,"ADAMS, JARED",C00900845,0,0,0,2026-02-18T14:06:44.856884,H,MN,7.0,DEMOCRATIC-FARMER-LABOR
H4FL07137,"ADAMS, JENNIFER",C00852152,34,39,73,2026-02-18T14:06:44.858405,H,FL,7.0,DEMOCRATIC PARTY
H6NJ12367,"ADAMS, MATTHEW MARK",C00932277,0,2,2,2026-02-18T14:06:44.859217,H,NJ,12.0,DEMOCRATIC PARTY
H6TX35111,"ADAMS, RANDAL HASKEL",C00929570,0,0,0,2026-02-18T14:06:44.859788,H,TX,35.0,REPUBLICAN PARTY
H4MI02120,"ADAMS, SCOTT CECIL MR",C00884734,0,0,0,2026-02-18T14:06:44.860567,H,MI,2.0,U.S. TAXPAYERS PARTY
H4NY22093,"ADDINGTON, JACOB TAY",C00852764,0,0,0,2026-02-18T14:06:44.861230,H,NY,22.0,DEMOCRATIC PARTY
H2FL21132,"ADEIMY, DEBORAH",C00791541,17,22,39,2026-02-18T14:06:44.864007,H,FL,22.0,REPUBLICAN PARTY
H6AL04098,"ADERHOLT, ROBERT B. REP.",C00313247,355,145,500,2026-02-18T14:06:44.867669,H,AL,4.0,REPUBLICAN PARTY
H4IN03240,"ADOLPH, KILEY DR.",C00848465,0,0,0,2026-02-18T14:06:44.868168,H,IN,3.0,DEMOCRATIC PARTY
H6NJ07243,"ADUBATO, BETH ELLEN PH.D.",C00905877,84,116,200,2026-02-18T14:06:44.871170,H,NJ,7.0,DEMOCRATIC PARTY
H0MI03290,"AFENDOULIS, LYNN",C00710814,0,0,0,2026-02-18T14:06:44.871587,H,MI,3.0,REPUBLICAN PARTY
H6NJ01238,"AFFRIME, LONNIE",C00934208,0,0,0,2026-02-18T14:06:44.872070,H,NJ,1.0,DEMOCRATIC PARTY
H6NC11248,"AGER, JAMIE",C00914119,322,378,700,2026-02-18T14:06:44.875535,H,NC,11.0,DEMOCRATIC PARTY
H2NY11165,"AGODA-KOUSSEMA, KOMI L.T. DR.",C00798819,0,0,0,2026-02-18T14:06:44.875941,H,NY,11.0,DEMOCRATIC PARTY
H6FL59018,"AGUERJOUT, FATIMA EZAHRA",C00939017,0,0,0,2026-02-18T14:06:44.876330,,,,
H6NC13244,"AGUILAR, ANTHONY BAILEY MR.",C00932913,0,0,0,2026-02-18T14:06:44.876744,H,NC,13.0,GREEN PARTY
H2CA31125,"AGUILAR, PETE",C00510461,3663,37,3700,2026-02-18T14:06:44.909403,H,CA,33.0,DEMOCRATIC PARTY
H6WV01137,"AGUIRRE, BRITTA",C00909168,31,0,31,2026-02-18T14:06:44.912037,H,WV,1.0,DEMOCRATIC PARTY
H4TX07081,"AGWAN, PERVEZ S",C00832675,17,0,17,2026-02-18T14:06:44.913766,H,TX,7.0,DEMOCRATIC PARTY
H4IL06120,"AHMAD, MAHNOOR",C00847368,0,0,0,2026-02-18T14:06:44.914414,H,IL,6.0,DEMOCRATIC PARTY
H6CA40358,"AHMED, CHRISTIAN TYLER",C00904433,0,0,0,2026-02-18T14:06:44.914998,H,CA,40.0,INDEPENDENT
H2IL08146,"AHMED, JUNAID",C00906891,693,407,1100,2026-02-18T14:06:44.929073,H,IL,8.0,DEMOCRATIC PARTY
H8CA34258,"AHN, ROBERT LEE",C00631564,0,0,0,2026-02-18T14:06:44.930796,H,CA,34.0,DEMOCRATIC PARTY
H4CA32145,"AHUJA, CHRISTOPHER",C00858746,36,0,36,2026-02-18T14:06:44.932868,H,CA,32.0,DEMOCRATIC PARTY
H4DE01084,"AIKEN, CURTIS MORRIS MR III",C00849331,0,0,0,2026-02-18T14:06:44.933574,H,DE,0.0,DEMOCRATIC PARTY
H2NC01255,"AIKEN, WILLIAM",C00808675,0,0,0,2026-02-18T14:06:44.934108,H,NC,1.0,REPUBLICAN PARTY
H6VA11116,"AISEN, JOSHUA",C00906008,9,9,18,2026-02-18T14:06:44.936389,H,VA,11.0,DEMOCRATIC PARTY
H4NJ06166,"AKHTAR, FAHAD",C00875898,0,0,0,2026-02-18T14:06:44.936841,H,NJ,6.0,OTHER
H4NY26086,"ALAM, MOHAMMED JAHANGIR",C00858134,0,0,0,2026-02-18T14:06:44.937895,H,NY,26.0,DEMOCRATIC PARTY
H0MN05251,"AL-AQIDI, DALIA",C00734533,0,0,0,2026-02-18T14:06:44.938622,H,MN,5.0,REPUBLICAN PARTY
H4MN05113,"AL-AQIDI, DALIA",C00850636,820,180,1000,2026-02-18T14:06:44.945383,H,MN,5.0,REPUBLICAN PARTY
H6FL03115,"ALBERS, TROY",C00927459,0,1,1,2026-02-18T14:06:44.946434,H,FL,3.0,DEMOCRATIC PARTY
H4IA02067,"ALBERTSON-CORKERY, SARAH ELAINE",C00853671,0,0,0,2026-02-18T14:06:44.947004,H,IA,2.0,DEMOCRATIC PARTY
H6IL16090,"ALBRIGHT, JOE",C00899666,22,16,38,2026-02-18T14:06:44.948873,H,IL,16.0,DEMOCRATIC PARTY
H6VA02230,"ALBRITTON, DEVINCHE JAVON",C00935353,0,0,0,2026-02-18T14:06:44.949401,H,VA,2.0,INDEPENDENT
H2FL11166,"ALCANTARA, CHRISTOPHER MANUEL",C00893354,0,0,0,2026-02-18T14:06:44.949961,H,FL,6.0,NO PARTY AFFILIATION
H6CA41315,"ALEMAN, KATHERINE",C00912782,376,424,800,2026-02-18T14:06:44.962517,H,CA,41.0,DEMOCRATIC PARTY
H6TX01337,"ALEXANDER, DAX CORNELL",C00907410,0,0,0,2026-02-18T14:06:44.963181,H,TX,1.0,DEMOCRATIC PARTY
