candidate_id,candidate_name,contributor_name,committee_id,total_amount,num_contributions
H0AL01055,"CARL, JERRY LEE, JR",EASTERN SHORE TOYOTA,C00697789,14000.0,4
H0AL01055,"CARL, JERRY LEE, JR",MBT INVESTMENTS LLC,C00697789,20000.0,12
H0AL01055,"CARL, JERRY LEE, JR",NEW ENERGY IN WASHINGTON HOUSE PAC (N.E.W. HOUSE PAC),C00697789,4000.0,4
H0AL01055,"CARL, JERRY LEE, JR",SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),C00697789,10000.0,4
H0AL01055,"CARL, JERRY LEE, JR",SPS REALTY LLC,C00697789,14000.0,4
H0AL01055,"CARL, JERRY LEE, JR",UNIVERISTY OF SOUTH ALABAMA FEDERAL PAC,C00697789,2000.0,4
H0AL01055,"CARL, JERRY LEE, JR",WINRED,C00697789,234831.56,8
H0AL07086,"SEWELL, TERRI A.",ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",ACTBLUE,C00458976,56910.0,91
H0AL07086,"SEWELL, TERRI A.",AIR METHODS CORPORATION PAC,C00458976,35000.0,14
H0AL07086,"SEWELL, TERRI A.",AKIN GUMP STRAUSS HAUER & FELD LLP CIVIC ACTION COMMITTEE (AKA AGSH&F CIVIC ACTION COMMITT,C00458976,5250.0,7
H0AL07086,"SEWELL, TERRI A.",ALLY FINANCIAL INC. PAC,C00458976,14000.0,7
H0AL07086,"SEWELL, TERRI A.","AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",AMERICAN ACADEMY OF PHYSICIAN ASSOCIATES POLITICAL ACTION COMMITTEE (PA PAC),C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",AMERICAN AMBULANCE ASSOCIATION FEDERAL PAC (AKA AMBU-PAC),C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",AMERICAN COLLEGE OF PHYSICIAN SERVICES INC PAC; AKA ACP SERVICES PAC,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),C00458976,17500.0,14
H0AL07086,"SEWELL, TERRI A.","AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION",C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMM,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",AMERICAN OSTEOPATHIC ASSOC. PAC,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",AMERIPRISE FINANCIAL INC. POLITICAL ACTION COMMITTEE (AMERIPRISEPAC),C00458976,14000.0,7
H0AL07086,"SEWELL, TERRI A.",AMGEN INC. POLITICAL ACTION COMMITTEE,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",ARCHIPAC - THE AMERICAN INSTITUTE OF ARCHITECTS,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",ARENT FOX LLP PAC (AFPAC),C00458976,14000.0,7
H0AL07086,"SEWELL, TERRI A.",BALCH AND BINGHAM LLP,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",BANK OF AMERICA CORPORATION FEDERAL PAC,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.","BIOGEN, INC. POLITICAL ACTION COMMITTEE A.K.A. 'BIOGEN PAC'",C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",BNSF RAILWAY COMPANY RAILPAC (BNSF RAILPAC),C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",BRADLEY ARANT BOULT CUMMINGS LLP FEDERAL POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",CATERPILLAR INC. PAC,C00458976,35000.0,7
H0AL07086,"SEWELL, TERRI A.",COLLEGE OF AMERICAN PATHOLOGISTS POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",COMMITTEE ORGANIZED FOR THE TRADING OF COTTON PAC OF THE AMERICAN COTTON SHIPPERS ASSOCIAT,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.","CRH AMERICAS, INC. PAC",C00458976,10500.0,7
H0AL07086,"SEWELL, TERRI A.",CVS HEALTH PAC,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",DAVITA INC POLITICAL ACTION COMMITTEE,C00458976,14000.0,7
H0AL07086,"SEWELL, TERRI A.",DELOITTE POLITICAL ACTION COMMITTEE,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",EDWARDS LIFESCIENCES POLITICAL ACTION COMMITTEE (A.K.A. EDWARDS PAC),C00458976,14000.0,7
H0AL07086,"SEWELL, TERRI A.",EMPLOYEES OF NORTHROP GRUMMAN CORPORATION PAC,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",ENTERGY CORPORATION POLITICAL ACTION COMMITTEE (ENPAC),C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",ERNST & YOUNG PAC,C00458976,35000.0,7
H0AL07086,"SEWELL, TERRI A.",FRATERNITY & SORORITY POLITICAL ACTION COMMITTEE,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",FRIENDS OF COMMUNITY ONCOLOGY PAC,C00458976,35000.0,7
H0AL07086,"SEWELL, TERRI A.",GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",GRANT THORNTON PAC,C00458976,35000.0,14
H0AL07086,"SEWELL, TERRI A.",INTERNATIONAL COUNCIL OF SHOPPING CENTERS INC POLITICAL ACTION COMMITTEE (ICSC PAC),C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.","INVESCO HOLDING COMPANY (US), INC. EMPLOYEE POLITICAL ACTION COMMITTEE",C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",JOHN HANCOCK LIFE INSURANCE COMPANY (USA) FEDERAL POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",JOHNSON & JOHNSON POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",LPL FINANCIAL LLC PAC,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",MAYNARD NEXSEN PAC,C00458976,35000.0,7
H0AL07086,"SEWELL, TERRI A.",METLIFE INC. EMPLOYEES' POLITICAL PARTICIPATION FUND A,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",NATIONAL ACTIVE AND RETIRED FEDERAL EMPLOYEES ASSOCIATION POLITICAL ACTION COM (NARFE-PAC),C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",NATIONAL BEER WHOLESALERS ASSOC. PAC,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,C00458976,35000.0,7
H0AL07086,"SEWELL, TERRI A.",NATIONAL VENTURE CAPITAL ASSOCIATION VENTUREPAC,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",NEW DEMOCRAT COALITION PAC,C00458976,59500.0,21
H0AL07086,"SEWELL, TERRI A.",NOVARTIS CORPORATION POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",NOVO NORDISK INC. PAC (NOVO NORDISK PAC),C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",OTSUKA AMERICA PHARMACEUTICAL INC. POLITICAL ACTION COMMITTEE (OTSUKA US PAC),C00458976,10500.0,7
H0AL07086,"SEWELL, TERRI A.",PNC PAC,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",RAYONIER INC. GOOD GOVERNMENT COMMITTEE,C00458976,10500.0,7
H0AL07086,"SEWELL, TERRI A.",RBC USA HOLDCO CORPORATION FEDERAL POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",RENAL PHYSICIANS ASSOCIATION PAC RPA PAC,C00458976,10500.0,7
H0AL07086,"SEWELL, TERRI A.",SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",SMALL BUSINESS INVESTOR ALLIANCE PAC,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",STATEFARM PAC,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",T-MOBILE INC. POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",THE CARLYLE GROUP INC. PAC (AKA 'CARLYLE PAC'),C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",THE CHICKASAW NATION,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA POLITICAL ACTION COMMITTEE - FEDERAL (GUARDIAN LIFE P,C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",THE PROCTER & GAMBLE COMPANY GOOD GOVERNMENT FUND,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",TRACTOR SUPPLY COMPANY POLITICAL ACTION COMMITTEE,C00458976,28000.0,7
H0AL07086,"SEWELL, TERRI A.","TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",C00458976,17500.0,7
H0AL07086,"SEWELL, TERRI A.",UNITED STATES STEEL CORPORATION POLITICAL ACTION COMMITTEE,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.",UNITEDHEALTH GROUP,C00458976,35000.0,7
H0AL07086,"SEWELL, TERRI A.",VILLAGEMD PAC,C00458976,7000.0,7
H0AL07086,"SEWELL, TERRI A.","VISA, INC. POLITICAL ACTION COMMITTEE",C00458976,14000.0,7
H0AL07086,"SEWELL, TERRI A.",WELLS FARGO AND COMPANY EMPLOYEE PAC,C00458976,7000.0,7
H0AR01083,"CRAWFORD, ERIC ALAN RICK",AMERICAN FOREST & PAPER ASSOCIATION POLITICAL ACTION COMMITT,C00462374,4500.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",AMERICAN WATERWAYS OPERATORS PAC,C00462374,6000.0,6
H0AR01083,"CRAWFORD, ERIC ALAN RICK",AMERICANS FOR RESPONSIBLE INNOVATION LTD. POLITICAL ACTION C,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",ARVEST BANK,C00462374,25033.53,9
H0AR01083,"CRAWFORD, ERIC ALAN RICK",ASSOCIATED BUILDERS & CONTRACTORS PAC,C00462374,7500.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",ASSOCIATED GENERAL CONTRACTORS OF AMERICAN PAC,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",BOEING COMPANY POLITICAL ACTION COMMITTEE,C00462374,6000.0,6
H0AR01083,"CRAWFORD, ERIC ALAN RICK",BOOZ ALLEN HAMILTON INC. PAC (BOOZ ALLEN PAC),C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",CROP INSURANCE PROFESSIONALS ASSOCIATION PAC,C00462374,7500.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",ENTERGY CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE (ENP,C00462374,7500.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",FAA MANAGERS ASSOCIATION INC. PAC,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",FARM CREDIT COUNCIL PAC,C00462374,7500.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",FEDERAL EXPRESS POLITICAL ACTION COMMITTEE,C00462374,4500.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",FREEDOM 21: FIGHTING FOR FREEDOM IN THE 21ST CENTURY,C00462374,15000.0,6
H0AR01083,"CRAWFORD, ERIC ALAN RICK",GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GEN,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",INDEPENDENT COMMUNITY BANKERS OF AMERICA PAC,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",INTERNATIONAL FOODSERVICE DISTRIBUTORS ASSOCIATION POLITICAL,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",JOHN DEERE PAC,C00462374,4500.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",L3HARRIS TECHNOLOGIES INC. PAC,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",LEIDOS INC. POLITICAL ACTION COMMITTEE,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",LKQ CORPORATION EMPLOYEE GOOD GOVERNMENT FUND,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",LOCKHEED MARTIN CORPORATION EMPLOYEES' PAC,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",MAXAR TECHNOLOGIES HOLDINGS INC. PAC/FKA SPACE SYSTEMS/LORAL,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",NATIONAL FEDERATION OF INDEPENDENT BUSINESS FEDERAL POLITICA,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",NATIONAL RIFLE ASSOC OF AMERICA-POLITICAL VICTORY FUND,C00462374,3000.0,3
H0AR01083,"CRAWFORD, ERIC ALAN RICK",NATIONAL SHOOTING SPORTS FOUNDATION INC. PAC,C00462374,3000.0,3
