candidate_id,candidate_name,contributor_name,committee_id,total_amount,num_contributions
H6KS01179,"MARSHALL, ROGER W",AMERICAN ACADEMY OF SLEEP MEDICINE POLITICAL ACTION COMMITTE,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMM,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION CO,C00576173,283100.0,19
H6KS01179,"MARSHALL, ROGER W",AMERICAN OPTOMETRIC ASSOCIATION POLITICAL ACTION COMMITTEE,C00576173,85500.0,38
H6KS01179,"MARSHALL, ROGER W",ANESTHESIA SERVICE MEDICAL GROUP ADVOCACY FUND,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",ARCHER DANIELS MIDLAND COMPANY-ADM PAC,C00576173,76000.0,38
H6KS01179,"MARSHALL, ROGER W",BUILDING UP DEMOCRACY'S DREAM,C00576173,95000.0,19
H6KS01179,"MARSHALL, ROGER W",CARGILL INCORPORATED POLITICAL ACTION COMMITTEE,C00576173,38000.0,19
H6KS01179,"MARSHALL, ROGER W",CME GROUP INC. PAC,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",CROWE PAC,C00576173,19000.0,19
H6KS01179,"MARSHALL, ROGER W",DELOITTE POLITICAL ACTION COMMITTEE,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",ERNST & YOUNG POLITICAL ACTION COMMITTEE,C00576173,95000.0,19
H6KS01179,"MARSHALL, ROGER W",HEALTH & FITNESS ASSOCIATION PAC (FITPAC),C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",KEYSER ENTERPRISES 1 LP,C00576173,38000.0,19
H6KS01179,"MARSHALL, ROGER W",KPMG PARTNERS/PRINCIPALS AND EMPLOYEES PAC,C00576173,95000.0,19
H6KS01179,"MARSHALL, ROGER W",MARQUIS MASTER SC INC. PAC,C00576173,57000.0,19
H6KS01179,"MARSHALL, ROGER W",NATIONAL EMERGENCY MEDICINE POLITICAL ACTION COMMITTEE / AME,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",NATIONAL SORGHUM PRODUCERS POLITICAL ACTION COMMITTEE,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",NOVARTIS CORPORATION POLITICAL ACTION COMMITTEE,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",ONE TEAM SENATE MAJORITY,C00576173,38916.37,38
H6KS01179,"MARSHALL, ROGER W",OWNER OPERATOR INDEPENDENT DRIVERS ASSOCIATION PAC,C00576173,38000.0,19
H6KS01179,"MARSHALL, ROGER W",RGA REINSURANCE COMPANY FEDERAL PAC,C00576173,57000.0,19
H6KS01179,"MARSHALL, ROGER W",SENATE CONSERVATIVES FUND,C00576173,46702.0,19
H6KS01179,"MARSHALL, ROGER W",SOUTHWEST AIRLINES PILOTS' ASSOCIATION POLITICAL ACTION COMM,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",TEAM MARSHALL II,C00576173,1082930.08,38
H6KS01179,"MARSHALL, ROGER W",THE WENDYS COMPANY POLITICAL ACTION COMMITTEE,C00576173,47500.0,19
H6KS01179,"MARSHALL, ROGER W",TRANSCANADA USA SERVICES INC. PAC (TC PAC),C00576173,38000.0,19
H6KS01179,"MARSHALL, ROGER W",WINRED,C00576173,21867.67,114
S0AL00230,"TUBERVILLE, THOMAS H",AMERICAN PRINCIPLES,C00701672,18500.0,37
S0AL00230,"TUBERVILLE, THOMAS H",ELECTORAL STRATEGIES INC,C00701672,10040.32,37
S0AL00230,"TUBERVILLE, THOMAS H",INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),C00701672,92500.0,37
S0AL00230,"TUBERVILLE, THOMAS H",ONE TEAM SENATE MAJORITY,C00701672,752612.1900000001,74
S0AL00230,"TUBERVILLE, THOMAS H",SENATE CONSERVATIVES FUND,C00701672,136530.0,333
S0AL00230,"TUBERVILLE, THOMAS H",TUBERVILLE VICTORY FUND,C00701672,7724944.729999999,222
S0AL00230,"TUBERVILLE, THOMAS H",USPS,C00701672,18315.0,37
S0AR00150,"BOOZMAN, SEN. JOHN",AIRBUS AMERICAS INC. POLITICAL ACTION COMMITTEE,C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",AMERICAN ASSOCIATION OF NURSE ANESTHETISTS SEPARATE SEGREGAT,C00476317,7500.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",AMERICAN GAMING ASSOCIATION POLITICAL ACTION COMMITTEE,C00476317,7500.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",AMERICAN KENNEL CLUB PAC,C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",AMERICAN PORTABLE DIAGNOSTIC ASSOCIATION  APDA-PAC,C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",AMGEN INC. PAC,C00476317,10500.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",ARVEST BANK,C00476317,47991.69,12
S0AR00150,"BOOZMAN, SEN. JOHN",BENTLEY SYSTEMS INC. FEDERAL PAC,C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",BLOUNT STRATEGIC INITIATIVES LLC,C00476317,1500.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",CALIFORNIA NATIONS INDIAN GAMING ASSOCIATION FEDERAL PAC (CN,C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",COINBASE INC. INNOVATION PAC (COINBASE INNOVATION PAC),C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",COLORADO RIVER INDIAN TRIBES,C00476317,6000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",CROWELL & MORING LLP POLITICAL ACTION COMMITTEE (C&M PAC),C00476317,4500.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",CTIA - THE WIRELESS ASSOCIATION POLITICAL ACTION COMMITTEE,C00476317,9000.0,6
S0AR00150,"BOOZMAN, SEN. JOHN",GENWORTH FINANCIAL INC AND ENACT POLITICAL ACTION COMMITTEE,C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",HB STRATEGIES PAC,C00476317,6000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",IHEARTMEDIA INC. PAC,C00476317,7500.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",INDEPENDENT INSURANCE AGENTS OF AMERICA INC PAC,C00476317,7500.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",KENTUCKY SOYBEAN ASSOCIATION PAC,C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",LIVESTOCK MARKETING ASSOCIATION PAC (LMA-PAC),C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",LOCKHEED MARTIN CORPORATION EMPLOYEES' POLITICAL ACTION COMM,C00476317,3000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",LYONDELL CHEMICAL COMPANY PAC,C00476317,7500.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",MORONGO BAND OF MISSION INDIANS,C00476317,6000.0,3
S0AR00150,"BOOZMAN, SEN. JOHN",NATIONAL MARINE MANUFACTURERS ASSOCATION PAC,C00476317,7500.0,3
